Transport,name,Latitude,Longitude
Bus Stop,Ganapathy main,11.04063532,76.97851045
Bus Stop,Gandhipuram,11.01729031,76.97851045
Bus Stop,New bus stand,11.03515953,76.97851045
Bus Stop,Cross cut area,11.06189132,76.97851045
Railway ,Periyanaicken palayam,11.15390081,76.97851045
Railway ,Irugur junction ,10.92537758,76.97851045
Bus Stop,Sivananda colony,11.02784729,76.97851045
Railway,Podanur ,10.97379612,76.97851045
Railway,Narasimhanaickenpalayam,11.13276062,76.95386837
Airport,Coimbatore international airport,11.03058533,77.03904971
